sample_id,taxon
VBS45687-6143STDY8787412,dirus
VBS45688-6143STDY8787413,dirus
VBS45689-6143STDY8787414,dirus
VBS45690-6143STDY8787415,dirus
VBS45691-6143STDY8787416,dirus
VBS45692-6143STDY8787417,dirus
VBS45701-6143STDY8787420,dirus
VBS45702-6143STDY8787421,dirus
VBS45708-6143STDY8787424,dirus
VBS45709-6143STDY8787425,dirus
VBS45711-6143STDY8787426,dirus
VBS45713-6143STDY8787427,dirus
VBS45717-6143STDY8787429,dirus
VBS45718-6143STDY8787430,dirus
VBS45720-6143STDY8787431,dirus
VBS45723-6143STDY8787432,dirus
VBS45724-6143STDY8787433,dirus
VBS45728-6143STDY8787434,dirus
VBS45734-6143STDY8787435,dirus
VBS45735-6143STDY8787436,dirus
VBS45737-6143STDY8787437,dirus
VBS45738-6143STDY8787438,dirus
VBS45739-6143STDY8787439,dirus
VBS45742-6143STDY8787440,dirus
VBS45743-6143STDY8787441,dirus
VBS45745-6143STDY8787442,dirus
