sample_id,country,country_ISO,adm1_name,adm1_ISO,adm2_name
VBS54551-6143STDY11462443,Cambodia,KHM,Mondulkiri,KH-11,Kaev Seima
VBS54553-6143STDY11462445,Cambodia,KHM,Mondulkiri,KH-11,Kaev Seima
VBS54554-6143STDY11462446,Cambodia,KHM,Mondulkiri,KH-11,Kaev Seima
VBS54555-6143STDY11462447,Cambodia,KHM,Mondulkiri,KH-11,Kaev Seima
VBS54556-6143STDY11462448,Cambodia,KHM,Mondulkiri,KH-11,Kaev Seima
VBS54557-6143STDY11462449,Cambodia,KHM,Mondulkiri,KH-11,Kaev Seima
VBS54558-6143STDY11462450,Cambodia,KHM,Mondulkiri,KH-11,Kaev Seima
VBS54561-6143STDY11462453,Cambodia,KHM,Mondulkiri,KH-11,Kaev Seima
VBS54562-6143STDY11462454,Cambodia,KHM,Mondulkiri,KH-11,Kaev Seima
VBS54563-6143STDY11462455,Cambodia,KHM,Mondulkiri,KH-11,Kaev Seima
VBS54564-6143STDY11462456,Cambodia,KHM,Mondulkiri,KH-11,Kaev Seima
VBS54565-6143STDY11462457,Cambodia,KHM,Mondulkiri,KH-11,Kaev Seima
VBS54567-6143STDY11462459,Cambodia,KHM,Mondulkiri,KH-11,Kaev Seima
VBS54569-6143STDY11462461,Cambodia,KHM,Mondulkiri,KH-11,Kaev Seima
VBS54570-6143STDY11462462,Cambodia,KHM,Mondulkiri,KH-11,Kaev Seima
VBS54571-6143STDY11462463,Cambodia,KHM,Mondulkiri,KH-11,Kaev Seima
VBS54572-6143STDY11462464,Cambodia,KHM,Mondulkiri,KH-11,Kaev Seima
VBS54574-6143STDY11462466,Cambodia,KHM,Mondulkiri,KH-11,Kaev Seima
VBS54575-6143STDY11462467,Cambodia,KHM,Mondulkiri,KH-11,Kaev Seima
VBS54576-6143STDY11462468,Cambodia,KHM,Mondulkiri,KH-11,Kaev Seima
VBS54577-6143STDY11462469,Cambodia,KHM,Mondulkiri,KH-11,Kaev Seima
VBS54578-6143STDY11462470,Cambodia,KHM,Mondulkiri,KH-11,Kaev Seima
VBS54579-6143STDY11462471,Cambodia,KHM,Mondulkiri,KH-11,Kaev Seima
VBS54580-6143STDY11462472,Cambodia,KHM,Mondulkiri,KH-11,Kaev Seima
VBS54581-6143STDY11462473,Cambodia,KHM,Mondulkiri,KH-11,Kaev Seima
VBS54582-6143STDY11462474,Cambodia,KHM,Mondulkiri,KH-11,Kaev Seima
VBS54583-6143STDY11462475,Cambodia,KHM,Mondulkiri,KH-11,Kaev Seima
VBS54585-6143STDY11462477,Cambodia,KHM,Mondulkiri,KH-11,Kaev Seima
VBS54586-6143STDY11462478,Cambodia,KHM,Mondulkiri,KH-11,Kaev Seima
VBS54588-6143STDY11462480,Cambodia,KHM,Mondulkiri,KH-11,Kaev Seima
VBS54589-6143STDY11462481,Cambodia,KHM,Mondulkiri,KH-11,Kaev Seima
VBS54590-6143STDY11462482,Cambodia,KHM,Mondulkiri,KH-11,Kaev Seima
VBS54591-6143STDY11462483,Cambodia,KHM,Mondulkiri,KH-11,Kaev Seima
VBS54592-6143STDY11462484,Cambodia,KHM,Mondulkiri,KH-11,Kaev Seima
