sample_id,country_ISO,adm1_name,adm1_ISO,adm2_name,taxon,cohort_admin1_year,cohort_admin1_month,cohort_admin1_quarter,cohort_admin2_year,cohort_admin2_month,cohort_admin2_quarter
VBS45974-6296STDY9478582,THA,Surat Thani Province,TH-84,Khiri Rat Nikhom,dirus,TH-84_diru_2019,TH-84_diru_2019_02,TH-84_diru_2019_Q1,TH-84_Khiri-Rat-Nikhom_diru_2019,TH-84_Khiri-Rat-Nikhom_diru_2019_02,TH-84_Khiri-Rat-Nikhom_diru_2019_Q1
VBS45976-6296STDY9478584,THA,Surat Thani Province,TH-84,Khiri Rat Nikhom,dirus,TH-84_diru_2019,TH-84_diru_2019_02,TH-84_diru_2019_Q1,TH-84_Khiri-Rat-Nikhom_diru_2019,TH-84_Khiri-Rat-Nikhom_diru_2019_02,TH-84_Khiri-Rat-Nikhom_diru_2019_Q1
VBS45979-6296STDY9478587,THA,Surat Thani Province,TH-84,Khiri Rat Nikhom,dirus,TH-84_diru_2019,TH-84_diru_2019_03,TH-84_diru_2019_Q1,TH-84_Khiri-Rat-Nikhom_diru_2019,TH-84_Khiri-Rat-Nikhom_diru_2019_03,TH-84_Khiri-Rat-Nikhom_diru_2019_Q1
VBS45982-6296STDY9478589,THA,Surat Thani Province,TH-84,Khiri Rat Nikhom,dirus,TH-84_diru_2019,TH-84_diru_2019_04,TH-84_diru_2019_Q2,TH-84_Khiri-Rat-Nikhom_diru_2019,TH-84_Khiri-Rat-Nikhom_diru_2019_04,TH-84_Khiri-Rat-Nikhom_diru_2019_Q2
VBS46005-6296STDY9478612,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS46042-6296STDY9478649,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS46050-6296STDY9478657,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS46059-6296STDY9478666,THA,Surat Thani Province,TH-84,Khiri Rat Nikhom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Khiri-Rat-Nikhom_diru_2019,TH-84_Khiri-Rat-Nikhom_diru_2019_05,TH-84_Khiri-Rat-Nikhom_diru_2019_Q2
VBS46066-6296STDY9478673,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_06,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_06,TH-84_Phanom_diru_2019_Q2
VBS46067-6296STDY9478674,THA,Surat Thani Province,TH-84,Khiri Rat Nikhom,dirus,TH-84_diru_2019,TH-84_diru_2019_06,TH-84_diru_2019_Q2,TH-84_Khiri-Rat-Nikhom_diru_2019,TH-84_Khiri-Rat-Nikhom_diru_2019_06,TH-84_Khiri-Rat-Nikhom_diru_2019_Q2
