sample_id,taxon
VBS45974-6296STDY9478582,dirus
VBS45976-6296STDY9478584,dirus
VBS45979-6296STDY9478587,dirus
VBS45982-6296STDY9478589,dirus
VBS46005-6296STDY9478612,dirus
VBS46042-6296STDY9478649,dirus
VBS46050-6296STDY9478657,dirus
VBS46059-6296STDY9478666,dirus
VBS46066-6296STDY9478673,dirus
VBS46067-6296STDY9478674,dirus
VBS46078-6296STDY9478687,dirus
VBS46083-6296STDY9478692,dirus
VBS46084-6296STDY9478693,dirus
VBS46087-6296STDY9478696,dirus
VBS46088-6296STDY9478697,dirus
VBS46098-6296STDY9478707,dirus
VBS46121-6296STDY9478730,dirus
VBS46141-6296STDY9478750,dirus
VBS46145-6296STDY9478754,dirus
VBS46146-6296STDY9478755,dirus
VBS46154-6296STDY9478763,dirus
VBS46168-6296STDY9478779,dirus
VBS46172-6296STDY9478782,dirus
VBS46173-6296STDY9478783,dirus
VBS46175-6296STDY9478785,dirus
VBS46180-6296STDY9478790,dirus
VBS46183-6296STDY9478793,dirus
VBS46187-6296STDY9478797,dirus
VBS46188-6296STDY9478798,dirus
VBS46189-6296STDY9478799,dirus
VBS46190-6296STDY9478800,dirus
VBS46192-6296STDY9478801,dirus
VBS46198-6296STDY9478807,dirus
VBS45975-6296STDY10244530,dirus
VBS45983-6296STDY10244537,dirus
VBS45984-6296STDY10244538,dirus
VBS45985-6296STDY10244539,dirus
VBS45986-6296STDY10244540,dirus
VBS45987-6296STDY10244541,dirus
VBS45988-6296STDY10244542,dirus
VBS45989-6296STDY10244543,dirus
VBS45991-6296STDY10244545,dirus
VBS45992-6296STDY10244546,dirus
VBS45993-6296STDY10244547,dirus
VBS45994-6296STDY10244548,dirus
VBS45995-6296STDY10244549,dirus
VBS45996-6296STDY10244550,dirus
VBS45997-6296STDY10244551,dirus
VBS45998-6296STDY10244552,dirus
VBS45999-6296STDY10244553,dirus
VBS46000-6296STDY10244554,dirus
VBS46001-6296STDY10244555,dirus
VBS46002-6296STDY10244556,dirus
VBS46003-6296STDY10244557,dirus
VBS46004-6296STDY10244558,dirus
VBS46006-6296STDY10244560,dirus
VBS46007-6296STDY10244561,dirus
VBS46008-6296STDY10244562,dirus
VBS46009-6296STDY10244563,dirus
VBS46010-6296STDY10244564,dirus
VBS46011-6296STDY10244565,dirus
VBS46012-6296STDY10244566,dirus
VBS46013-6296STDY10244567,dirus
VBS46014-6296STDY10244568,dirus
VBS46016-6296STDY10244570,dirus
VBS46017-6296STDY10244571,dirus
VBS46019-6296STDY10244573,dirus
VBS46020-6296STDY10244574,dirus
VBS46021-6296STDY10244575,dirus
VBS46022-6296STDY10244576,dirus
VBS46025-6296STDY10244579,dirus
VBS46026-6296STDY10244580,dirus
VBS46027-6296STDY10244581,dirus
VBS46028-6296STDY10244582,dirus
VBS46029-6296STDY10244583,dirus
VBS46030-6296STDY10244584,dirus
VBS46031-6296STDY10244585,dirus
VBS46032-6296STDY10244586,dirus
VBS46033-6296STDY10244587,dirus
VBS46034-6296STDY10244588,dirus
VBS46035-6296STDY10244589,dirus
VBS46036-6296STDY10244590,dirus
VBS46037-6296STDY10244591,dirus
VBS46038-6296STDY10244592,dirus
VBS46039-6296STDY10244593,dirus
VBS46040-6296STDY10244594,dirus
VBS46041-6296STDY10244595,dirus
VBS46043-6296STDY10244597,dirus
VBS46044-6296STDY10244598,dirus
VBS46045-6296STDY10244599,dirus
VBS46046-6296STDY10244600,dirus
VBS46047-6296STDY10244601,dirus
VBS46048-6296STDY10244602,dirus
VBS46049-6296STDY10244603,dirus
VBS46051-6296STDY10244605,dirus
VBS46052-6296STDY10244606,dirus
VBS46053-6296STDY10244607,dirus
VBS46054-6296STDY10244608,dirus
VBS46055-6296STDY10244609,dirus
VBS46056-6296STDY10244610,dirus
VBS46057-6296STDY10244611,dirus
VBS46060-6296STDY10244614,dirus
