sample_id,mean_cov,median_cov,modal_cov,mean_cov_KB672490,median_cov_KB672490,mode_cov_KB672490,mean_cov_KB672868,median_cov_KB672868,mode_cov_KB672868,mean_cov_KB672979,median_cov_KB672979,mode_cov_KB672979,frac_gen_cov,divergence
VBS54551-6143STDY11462443,24.37,24,24,24.35,24,24,24.47,24,24,24.41,24,24,0.982,0.01406
VBS54553-6143STDY11462445,25.31,25,25,25.39,25,25,25.53,25,25,25.8,26,25,0.983,0.01392
VBS54554-6143STDY11462446,21.73,21,20,21.62,21,20,21.78,21,20,21.45,21,20,0.982,0.0143
VBS54555-6143STDY11462447,12.71,11,8,12.7,11,8,12.82,11,8,11.48,10,8,0.976,0.01665
VBS54556-6143STDY11462448,24.43,24,24,24.37,24,24,24.54,24,23,24.4,24,24,0.982,0.01416
VBS54557-6143STDY11462449,27.11,26,24,26.88,26,24,27.22,26,24,26.17,25,24,0.982,0.01417
VBS54558-6143STDY11462450,10.37,10,8,10.54,10,9,10.42,10,8,11.26,11,9,0.978,0.01598
VBS54561-6143STDY11462453,29.15,29,28,29.26,29,28,29.32,29,29,29.6,29,29,0.983,0.01387
VBS54562-6143STDY11462454,26.39,26,25,26.75,26,26,26.52,26,25,28.0,28,27,0.983,0.01393
VBS54563-6143STDY11462455,31.37,31,31,31.27,31,31,31.61,31,31,31.57,31,31,0.983,0.01379
VBS54564-6143STDY11462456,32.5,32,32,32.43,32,32,32.77,32,32,32.75,33,32,0.983,0.01377
VBS54565-6143STDY11462457,35.72,35,35,35.75,36,35,35.98,36,35,36.46,36,36,0.984,0.01377
VBS54567-6143STDY11462459,35.59,35,35,35.55,35,35,35.77,35,35,36.19,36,35,0.983,0.01379
VBS54569-6143STDY11462461,12.99,13,12,13.13,13,12,13.06,12,12,13.55,13,13,0.981,0.01793
VBS54570-6143STDY11462462,23.94,24,23,24.15,24,23,24.12,24,23,25.02,25,24,0.983,0.01394
VBS54571-6143STDY11462463,15.9,15,15,15.8,15,15,16.0,15,15,15.52,15,14,0.981,0.01532
VBS54572-6143STDY11462464,29.98,30,29,29.96,30,30,30.23,30,30,30.42,30,30,0.983,0.01378
VBS54574-6143STDY11462466,23.01,23,22,23.32,23,23,23.1,23,22,24.53,24,23,0.982,0.01402
VBS54575-6143STDY11462467,19.28,19,18,19.72,19,18,19.39,19,18,20.96,20,19,0.982,0.01468
VBS54576-6143STDY11462468,27.1,27,26,27.35,27,27,27.25,27,26,28.56,28,28,0.983,0.01383
VBS54577-6143STDY11462469,25.78,25,25,25.85,25,25,25.99,25,25,26.54,26,26,0.983,0.01393
