sample_id,partner_sample_id,contributor,country,location,year,month,latitude,longitude,sex_call
VBS54551-6143STDY11462443,BC1861,Amelie Vantaux,Cambodia,FOH05,2019,10,12.285,106.994,UKN
VBS54553-6143STDY11462445,BC1867,Amelie Vantaux,Cambodia,FOH05,2019,10,12.285,106.994,UKN
VBS54554-6143STDY11462446,BC1876,Amelie Vantaux,Cambodia,FOH05,2019,10,12.285,106.994,UKN
VBS54555-6143STDY11462447,BC1877,Amelie Vantaux,Cambodia,FOH05,2019,10,12.285,106.994,UKN
VBS54556-6143STDY11462448,BC1881,Amelie Vantaux,Cambodia,FOH05,2019,10,12.285,106.994,UKN
VBS54557-6143STDY11462449,BC1883,Amelie Vantaux,Cambodia,FOH05,2019,10,12.285,106.994,UKN
VBS54558-6143STDY11462450,BC1890,Amelie Vantaux,Cambodia,FOH05,2019,10,12.285,106.994,UKN
VBS54561-6143STDY11462453,BC1895,Amelie Vantaux,Cambodia,FOH05,2019,10,12.285,106.994,UKN
VBS54562-6143STDY11462454,BC1905,Amelie Vantaux,Cambodia,FOH05,2019,10,12.285,106.994,UKN
VBS54563-6143STDY11462455,BC1908,Amelie Vantaux,Cambodia,FOH05,2019,10,12.285,106.994,UKN
VBS54564-6143STDY11462456,BC1909,Amelie Vantaux,Cambodia,FOH05,2019,10,12.285,106.994,UKN
VBS54565-6143STDY11462457,BC1911,Amelie Vantaux,Cambodia,FOH05,2019,10,12.285,106.994,UKN
VBS54567-6143STDY11462459,BC1919,Amelie Vantaux,Cambodia,FOH05,2019,10,12.285,106.994,UKN
VBS54569-6143STDY11462461,BC1924,Amelie Vantaux,Cambodia,FOH05,2019,10,12.285,106.994,UKN
VBS54570-6143STDY11462462,BC1939,Amelie Vantaux,Cambodia,FOH05,2019,10,12.285,106.994,UKN
VBS54571-6143STDY11462463,BC1940,Amelie Vantaux,Cambodia,FOH05,2019,10,12.285,106.994,UKN
VBS54572-6143STDY11462464,BC1946,Amelie Vantaux,Cambodia,FOH05,2019,10,12.285,106.994,UKN
VBS54574-6143STDY11462466,BC1949,Amelie Vantaux,Cambodia,FOH05,2019,10,12.285,106.994,UKN
VBS54575-6143STDY11462467,BC1950,Amelie Vantaux,Cambodia,FOH05,2019,10,12.285,106.994,UKN
VBS54576-6143STDY11462468,BC1951,Amelie Vantaux,Cambodia,FOH05,2019,10,12.285,106.994,UKN
VBS54577-6143STDY11462469,BC1955,Amelie Vantaux,Cambodia,FOH05,2019,10,12.285,106.994,UKN
VBS54578-6143STDY11462470,BC1957,Amelie Vantaux,Cambodia,FOH05,2019,10,12.285,106.994,UKN
VBS54579-6143STDY11462471,BC1964,Amelie Vantaux,Cambodia,FOH05,2019,10,12.285,106.994,UKN
VBS54580-6143STDY11462472,BC1968,Amelie Vantaux,Cambodia,FOH05,2019,10,12.285,106.994,UKN
VBS54581-6143STDY11462473,BC1972,Amelie Vantaux,Cambodia,FOH05,2019,10,12.285,106.994,UKN
VBS54582-6143STDY11462474,BC1980,Amelie Vantaux,Cambodia,FOH05,2019,10,12.285,106.994,UKN
VBS54583-6143STDY11462475,BC1982,Amelie Vantaux,Cambodia,FOH05,2019,10,12.285,106.994,UKN
VBS54585-6143STDY11462477,BC1985,Amelie Vantaux,Cambodia,FOH05,2019,10,12.285,106.994,UKN
VBS54586-6143STDY11462478,BC1987,Amelie Vantaux,Cambodia,FOH05,2019,10,12.285,106.994,UKN
VBS54588-6143STDY11462480,BC2013,Amelie Vantaux,Cambodia,FOH05,2019,10,12.285,106.994,UKN
VBS54589-6143STDY11462481,BC2014,Amelie Vantaux,Cambodia,FOH05,2019,10,12.285,106.994,UKN
VBS54590-6143STDY11462482,BC2015,Amelie Vantaux,Cambodia,FOH05,2019,10,12.285,106.994,UKN
VBS54591-6143STDY11462483,BC2016,Amelie Vantaux,Cambodia,FOH05,2019,10,12.285,106.994,UKN
VBS54592-6143STDY11462484,BC2026,Amelie Vantaux,Cambodia,FOH05,2019,10,12.285,106.994,UKN
VBS54593-6143STDY11462485,BC2029,Amelie Vantaux,Cambodia,FOH05,2019,10,12.285,106.994,UKN
VBS54594-6143STDY11462486,BC2035,Amelie Vantaux,Cambodia,FOH05,2019,10,12.285,106.994,UKN
VBS54595-6143STDY11462487,BC2039,Amelie Vantaux,Cambodia,FOH05,2019,10,12.285,106.994,UKN
VBS54596-6143STDY11462488,BC2041,Amelie Vantaux,Cambodia,FOH05,2019,10,12.285,106.994,UKN
VBS54597-6143STDY11462489,BC2042,Amelie Vantaux,Cambodia,FOH05,2019,10,12.285,106.994,UKN
VBS54598-6143STDY11462490,BC2048,Amelie Vantaux,Cambodia,FOH05,2019,10,12.285,106.994,UKN
VBS54599-6143STDY11462491,BC2049,Amelie Vantaux,Cambodia,FOH05,2019,10,12.285,106.994,UKN
VBS54644-6143STDY11462538,BC4715,Amelie Vantaux,Cambodia,FOH05,2020,8,12.285,106.994,UKN
VBS54647-6143STDY11462541,BC4727,Amelie Vantaux,Cambodia,FOH05,2020,8,12.285,106.994,UKN
VBS54648-6143STDY11462542,BC4733,Amelie Vantaux,Cambodia,FOH05,2020,9,12.285,106.994,UKN
VBS54649-6143STDY11462543,BC4734,Amelie Vantaux,Cambodia,FOH05,2020,9,12.285,106.994,UKN
VBS54650-6143STDY11462544,BC4735,Amelie Vantaux,Cambodia,FOH05,2020,9,12.285,106.994,UKN
VBS54651-6143STDY11462545,BC4736,Amelie Vantaux,Cambodia,FOH05,2020,9,12.285,106.994,UKN
VBS54654-6143STDY11462548,BC4746,Amelie Vantaux,Cambodia,FOH05,2020,9,12.285,106.994,UKN
VBS54655-6143STDY11462549,BC4749,Amelie Vantaux,Cambodia,FOH05,2020,9,12.285,106.994,UKN
VBS54656-6143STDY11462550,BC4750,Amelie Vantaux,Cambodia,FOH05,2020,9,12.285,106.994,UKN
VBS54657-6143STDY11462551,BC4751,Amelie Vantaux,Cambodia,FOH05,2020,9,12.285,106.994,UKN
VBS54658-6143STDY11462552,BC4753,Amelie Vantaux,Cambodia,FOH05,2020,9,12.285,106.994,UKN
VBS54659-6143STDY11462553,BC4755,Amelie Vantaux,Cambodia,FOH05,2020,9,12.285,106.994,UKN
VBS54661-6143STDY11462555,BC4763,Amelie Vantaux,Cambodia,FOH05,2020,9,12.285,106.994,UKN
VBS54662-6143STDY11462556,BC4764,Amelie Vantaux,Cambodia,FOH05,2020,9,12.285,106.994,UKN
VBS54663-6143STDY11462557,BC4765,Amelie Vantaux,Cambodia,FOH05,2020,9,12.285,106.994,UKN
VBS54664-6143STDY11462558,BC4766,Amelie Vantaux,Cambodia,FOH05,2020,9,12.285,106.994,UKN
VBS54665-6143STDY11462559,BC4767,Amelie Vantaux,Cambodia,FOH05,2020,9,12.285,106.994,UKN
VBS54666-6143STDY11462560,BC4768,Amelie Vantaux,Cambodia,FOH05,2020,9,12.285,106.994,UKN
VBS54667-6143STDY11462561,BC4771,Amelie Vantaux,Cambodia,FOH05,2020,9,12.285,106.994,UKN
VBS54668-6143STDY11462562,BC4773,Amelie Vantaux,Cambodia,FOH05,2020,9,12.285,106.994,UKN
VBS54669-6143STDY11462563,BC4780,Amelie Vantaux,Cambodia,FOH05,2020,9,12.285,106.994,UKN
VBS54671-6143STDY11462565,BC4784,Amelie Vantaux,Cambodia,FOH05,2020,9,12.285,106.994,UKN
VBS54675-6143STDY11462569,BC4801,Amelie Vantaux,Cambodia,FOH05,2020,9,12.285,106.994,UKN
